file,N,loadtype_code,loadtype,g_val,k_val,n_points,span,depth,shallow_flag,best_fit,decisive,catenary_r2,catenary_aic,catenary_bic,parabolic_r2,parabolic_aic,parabolic_bic,elliptical_r2,elliptical_aic,elliptical_bic
arch_run24_0_g-0.7_k25.0.csv,24,0,uniform,-0.7,25,25,9.9993,5.3666,FALSE,elliptical,TRUE,0.99951,-156.92,-153.263,0.99856,-129.741,-126.085,0.99998,-238.115,-233.239
arch_run24_0_g-0.7_k50.0.csv,24,0,uniform,-0.7,50,25,9.999,3.8774,FALSE,elliptical,TRUE,0.9999,-213.289,-209.633,0.99919,-160.412,-156.756,1,-291.44,-286.565
arch_run24_1_g-0.1_k10.0.csv,24,1,central_point,-0.1,10,25,10,1.4727,TRUE,parabolic,FALSE,0.93344,-102.388,-98.731,0.93603,-103.38,-99.724,0.93602,-101.377,-96.501
arch_run24_1_g-0.1_k25.0.csv,24,1,central_point,-0.1,25,25,10,1.0748,TRUE,parabolic,FALSE,0.93462,-118.583,-114.927,0.93603,-119.127,-115.471,0.93602,-117.124,-112.249
arch_run24_1_g-0.1_k50.0.csv,24,1,central_point,-0.1,50,25,9.9999,0.8496,TRUE,parabolic,FALSE,0.93514,-130.541,-126.885,0.93603,-130.886,-127.229,0.93602,-128.882,-124.007
arch_run24_1_g-0.3_k10.0.csv,24,1,central_point,-0.3,10,25,9.9999,2.1727,FALSE,parabolic,TRUE,0.93064,-81.915,-78.258,0.93603,-83.936,-80.28,0.93602,-81.932,-77.056
arch_run24_1_g-0.3_k25.0.csv,24,1,central_point,-0.3,25,25,9.9999,1.5693,FALSE,parabolic,FALSE,0.9331,-99.086,-95.429,0.93603,-100.204,-96.547,0.93602,-98.2,-93.325
arch_run24_1_g-0.3_k50.0.csv,24,1,central_point,-0.3,50,25,9.9999,1.2348,TRUE,parabolic,FALSE,0.93418,-111.48,-107.823,0.93603,-112.19,-108.534,0.93602,-110.187,-105.312
arch_run24_1_g-0.5_k10.0.csv,24,1,central_point,-0.5,10,25,9.9999,2.6223,FALSE,parabolic,TRUE,0.92846,-71.735,-68.079,0.93603,-74.531,-70.875,0.93602,-72.528,-67.653
arch_run24_1_g-0.5_k25.0.csv,24,1,central_point,-0.5,25,25,9.9999,1.8786,FALSE,parabolic,FALSE,0.93192,-89.652,-85.996,0.93603,-91.21,-87.553,0.93602,-89.206,-84.33
arch_run24_1_g-0.5_k50.0.csv,24,1,central_point,-0.5,50,25,9.9998,1.4729,TRUE,parabolic,FALSE,0.93344,-102.382,-98.725,0.93603,-103.375,-99.718,0.93602,-101.373,-96.497
arch_run24_1_g-0.7_k10.0.csv,24,1,central_point,-0.7,10,25,9.9999,2.9796,FALSE,parabolic,TRUE,0.92656,-64.693,-61.036,0.93603,-68.145,-64.489,0.93602,-66.142,-61.266
arch_run24_1_g-0.7_k25.0.csv,24,1,central_point,-0.7,25,25,9.9998,2.1192,FALSE,parabolic,FALSE,0.93088,-83.249,-79.592,0.93603,-85.183,-81.526,0.93602,-83.18,-78.304
arch_run24_1_g-0.7_k50.0.csv,24,1,central_point,-0.7,50,25,9.9998,1.6564,FALSE,parabolic,FALSE,0.93279,-96.267,-92.611,0.93603,-97.504,-93.847,0.93602,-95.5,-90.624
arch_run24_2_g-0.1_k10.0.csv,24,2,asymmetric,-0.1,10,25,9.9997,5.8891,FALSE,parabolic,TRUE,0.92427,-26.578,-22.922,0.93883,-31.915,-28.259,0.93882,-29.912,-25.037
arch_run24_2_g-0.1_k25.0.csv,24,2,asymmetric,-0.1,25,25,9.9995,3.8108,FALSE,parabolic,TRUE,0.93166,-50.739,-47.082,0.93947,-53.769,-50.113,0.93946,-51.767,-46.891
arch_run24_2_g-0.1_k50.0.csv,24,2,asymmetric,-0.1,50,25,9.9994,2.8662,FALSE,parabolic,TRUE,0.93684,-66.9,-63.244,0.94184,-68.961,-65.305,0.94183,-66.958,-62.082
arch_run24_2_g-0.3_k10.0.csv,24,2,asymmetric,-0.3,10,25,9.9997,5.8891,FALSE,parabolic,TRUE,0.92427,-26.578,-22.922,0.93883,-31.915,-28.259,0.93882,-29.912,-25.037
arch_run24_2_g-0.3_k25.0.csv,24,2,asymmetric,-0.3,25,25,9.9995,3.8108,FALSE,parabolic,TRUE,0.93166,-50.739,-47.082,0.93947,-53.769,-50.113,0.93946,-51.767,-46.891
arch_run24_2_g-0.3_k50.0.csv,24,2,asymmetric,-0.3,50,25,9.9994,2.8662,FALSE,parabolic,TRUE,0.93684,-66.9,-63.244,0.94184,-68.961,-65.305,0.94183,-66.958,-62.082
